author,date,text,url
,"drtnoeospSt53l:49,a0022ht9c9mi  65t75gmia9501s1h03alcgcr071m",Cumul indemnités de non-concurrence et allocations chômage : c’est possible ! Vous êtes Cadre ou cadre dirigeant et votre entreprise est en réorganisation / restructura… En voir plus,https://www.facebook.com/cabinetavibitton?__cft__[0]=AZXfyt70Wgy6UM2MMi1KkaAvFicgt6--L5fyjDSPBZXicgmr8ruwNAg_3oOcYKGw0-OjrVKFlsB3dccAdIV3HYAufJN7Q9N2y_n3f15CWZ6-svJR04qmZCJWprdhC9slrdcXsJ3RWMim66t7DFyI7NmcQw7nk_scHk7WX4ZODr4D9V6IAY3N4NAK2R53Nf6LaZj8Wlr2HaHyu1xqM9ySKMxi&__tn__=%3C%3C%2CP-R
Compte vérifié,"orpdtseoSn 14vg5fu53,003lgt17mit2tc0h7533 rh:4h43c1a4a153c0m", #Harcèlement 2.0 : Résilience des Africaines connectées.,https://www.facebook.com/profile.php?id=100053317065689&__cft__[0]=AZVb1NeFp7UvHf_BjSFKRGqGRoy_mlZppyqHnicGkRrHERtdKbEpiWaJJX00ByRh3Xmy-ORLTzxKXpYsymVx06X9NW_bjFbaWzAVUy28njLAvsSHBhUHSY_cs24g0krUG74yIKDOjKrSQ-XSnwY8uebGyNNCc-x60wb5WtX39qfTeDIHV_OYGGdfdum_fNcUnDeWyWxZFmQrteo1wn0Vhfq2&__tn__=%3C%3C%2CP-R
Compte vérifié,"orpdtseoSn114ag5:u41l003igt17mrt2tc0h7533,vh74h13c1a4  53c2m","[ #𝗥𝗲𝗽𝗹𝗮𝘆 𝗬𝗼𝗹𝗮𝗻𝗱𝗲 𝗕𝗼𝗱𝗶𝗼𝗻𝗴 : 𝗮̀ 𝗰𝗮𝘂𝘀𝗲 𝗱𝗲 𝗹'𝗶𝗻𝗷𝘂𝘀𝘁𝗶𝗰𝗲 𝗲𝘁 𝗱𝘂 𝗵𝗮𝗿𝗰𝗲̀𝗹𝗲𝗺𝗲𝗻𝘁, 𝗷'𝗮𝗶 𝗮𝗿𝗿𝗲̂𝘁𝗲́ 𝗱𝗲 𝗷𝗼𝘂𝗲𝗿 𝗮𝘂 𝗵𝗮𝗻𝗱𝗯𝗮𝗹𝗹 ] Déclaration de Yolande Bodiong/ PDG SUN TV - MARABO/ Prom… En voir plus",https://www.facebook.com/Canal2International?__cft__[0]=AZVfiubjU-qlsWCZl8Nsf50TZUca4tyx1psI6PW2i-D9KXohAL2kRCb4OR8DYURoFPNKFzHt1HW0DAk3Rjw55kv1sJUWmapL7sePluMyOc3cR9EVku0IKaLJc6OXEkkyOMWP0uSqdiuGP34qphd1mG2XMIzeaX6SLlt78QnJQ4ERw6mFwRQLSfx5NosN_poqjGm-ukdvR-NvJ3xDdpFhGSQT&__tn__=%3C%3C%2CP-R
No author found,3 fév,No text found,https://www.facebook.com/reel/1125104212705556/?s=single_unit&__cft__[0]=AZWeT31i6ihlCALBrtnvwc2__l5NRgtxbPNl9xJ74N_rMVY_AkG25hFJDeqULvodOVpK7PWz4_geQVHTkLwL_N5DUz-GACRP2OgZlHkmtpjxqLWhttLzYPDsPBsREDjIoja6jTZlEGCFIOmwuKnKJUHPaW0e14vaGZZmXA0zaHk-V5u2EXqcGId46x5u04Hn-7cSAdJFdk_1uvGE2t0U2IWq&__tn__=H-R
Compte vérifié,orpdtseoSn814fg5fus0m003ggt17m2t2tc0h7533a h64ht3c1a4mr53ccm,Mon gentil boss serait il un pervers ?… En voir plus,https://www.facebook.com/stories/173737690781377/UzpfSVNDOjY5NjY2NTI4OTM2MTg2Nw==/?view_single=false&__cft__[0]=AZWLPfbgXDN7BglgevHRFcQdOW_otcAvjUNQpwEuF3L4Sb5zNgLf3uAZAudbhHDezPQnC4qr4E2JK9GAgk51s8RCfbq17c0BqHvMqX04yRbcqix-0RTkIApVeYM8FUixfqcDTBp2cPUQGNigiBiFls52fAS06Rw1cFHksD7B8q4UKrpUY7-HbdvRe2TduFVXzEv_nGsE1CGQYMOaMDc2FEIk&__tn__=%3C%3C%2CP-R
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
Compte vérifié,12 déc,No text found,https://www.facebook.com/reel/1517900532222143/?s=single_unit&__cft__[0]=AZUQ6X_-0YqPAT_Un50T0d--kIQRA0O_aCOvZQyLZzOMEEZCpoV7rpIox0QB5nUBy0Jn9g35i-ayfNr07rr-VcaSvT0Kswsny2AcXE8FY7WfII-f3837hnGHbY0WJ0Bet0PaZ9nrQa-K_WrtQ4vyccCsTtiHlY_qkIJneFFf9au4mshhmU8_GYuHO91QuegA82ytN5vnSpqAGdeXb617CKwc&__tn__=H-R
Compte vérifié,odrSoesnpt512ff5tt2183 6r4g00uh1g6u97658i18am905a188u1mt6u5s,J28 : Laisse-moi te dire (live) « Les autres n’ont sur toi que le pouvoir que tu leur donnes » #ryon #harcelement #acoustique #introspection #harcelementscolaire #harcelementmoral,https://www.facebook.com/ryonmusic?__cft__[0]=AZW4G2CqL-0-VlhtKUFnKmmBXaBOoXfkEXARC0FOBVi39HaACZHaeP7RvPT4-9Pz0fa4tEkM31GAbutAXFfRj9Mm97sYYn-aWsAPNlrjOObgmHCTdRByTP_4lGjbtCc4vOv0lnmmflZwtjMYcDPCHwJiujAtUQDX6m88OUV2aFPTyerX3vEyC8XkLA_L06pt9FfPPrgO3nWpXBQZpSGNzwmz&__tn__=%3C%3C%2CP-R
Compte vérifié,odrSoesnpt512ff5tt2183 6r4g00uh1g6u97258im8am905a188u1mt6u5s," L'univers de Buffy contre les vampires a été éclaboussé par des révélations choquantes. Des actrices, comme Charisma Carpenter et la regrettée Michelle Trachtenberg, … En voir plus",https://www.facebook.com/stories/101585905346682/UzpfSVNDOjExNzE0MTcxMzgwNjU3OTM=/?view_single=false&__cft__[0]=AZUHurO9_auuEC4lNXqOa02UFDn0C5DKYkO6mjqNAXQ0cKA-a7ooDqnjWtzi72o098Ryu9JoalnWdZAI7RzVtbpDbdyWUylrcGMmprBMr1Z0VcWIZQETZeocELSYoTsXc23IVbGt1tGKl3w8xrxZDXykGVZqX9p8-nl7ehssLEJjesmESD9a2DklCeBwe0Nsvqmg7b--XlKehPSglPnLn7Va&__tn__=%3C%3C%2CP-R
