author,date,text,url
No author found,8 mar,No text found,https://www.facebook.com/reel/2274410886285720/?s=single_unit&__cft__[0]=AZVK-ibgYwzsqxfT1ChQoSZ15Yk2l36wGk3JQBpAxAPz6ultXN8rtd_eoRq_Y8FHj26CZHU50uPwmOeXSvfVDX5bWSgjb4T--IUsijxy4rY7PcTA-W5jHQidn-QxntbAr-CiJMgv8Byvw2v04GsqYS8Z-282zpr6F3aM9bWY3DMkOjIQks7ob4DXzjC55W2cUkmIsTWPSMHxbdS08HLK7BSk&__tn__=H-R
No author found,14 avr,No text found,https://www.facebook.com/reel/1194281995483567/?s=single_unit&__cft__[0]=AZUsKlCXhSaZypE3D00vRvh-6xOnJMRduzbHh2acnGVfbKF3tiQxm1-xSoXit3W7gPcIHUaSfwZNh1ofVjAyKGq1CsFhtucYoY96_ZP0SEPIzdgLpKMBtzx1bVFEPmLWWLivzEo-Rz01GQYgIVGlingZP604oJRZWc_sNn8XXRWK95ICmpu0FYmY_zr1Hlv7knYuAFTdXi77AJni2RHpj8cc&__tn__=H-R
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
No author found,17 avr,No text found,https://www.facebook.com/reel/1475564716748867/?s=single_unit&__cft__[0]=AZW3Mzzks8dLu9xH4CvuCM38-KEz2U3lod2JyhLKZhhaU_eclyfelJjNNYiwf0P9WlcP5Z8LHNE4IyoptV1U0EF58NfVBFLuwjji1zQedCKeBT7VJgtJwLOVMb3lApqOCtaaAV3Y6fXrbHzWBu04HWecVqksR23c2LFpwwXPg3n8ERxstAby-koHlW0X6_Rda4c&__tn__=H-R
,"dnretSsoopm83274f21,fl77ch0m:6 t 7r66g77a011u91c4a3h7s7aggml",Récap’ jour de tournage #2 :Encore une journée de tournage qui s’est achevé mercredi 26 mars 2025 dans le cadre de notre court métrage « Entre ombre et lumière » au ly… En voir plus,https://www.facebook.com/profile.php?id=61554106525631&__cft__[0]=AZU18SntKnl-RVQ2_931kwxdQ3gW7ZzP_wmsmgPbl-0FYqIQz4ipjY4-LkpEa71zVh-UqJkoFkR6aSG1vZIglOMlbUEtqM8QPmyBDDOUVh07UfzRx_WkmmnT3zNf7PfIEnY9R4otQPQxpBTwyqoamw35xzpOK3LUrXOO2YvELg0bAlAbArAeqnPNg9kQd5BxhvfvcxajALCtLrHcjKGwEaez&__tn__=%3C%3C%2CP-R
No author found,No date found,No text found,No URL found
No author found,14 jan,No text found,https://www.facebook.com/reel/907285667876481/?s=single_unit&__cft__[0]=AZWD8m7u03Tw-0mB6b6JlTsds_VNE3pZqC2e6qQG2DxficJT5WirTK8PlixofHMaJoTY0kawZZYYD_-9S82OBe94GSHP2balCFmPb-lp1D7tRMj00jdKqBW1vIH-jxRlQ39zNVPW75HZu3nXLi76Cnp1i6WUaYRxb3hrdjZHfJ7TX5RAQ7QhU_xXIgfGDv3LQaHThmqtyxKRt20JCUrvkGUC&__tn__=H-R
No author found,No date found,No text found,No URL found
No author found,17 avr,No text found,https://www.facebook.com/reel/664046129656647/?s=single_unit&__cft__[0]=AZUcxNX7LeWMdgcjjOcqiQG01RQwPnU-MHjMN4kshF8xZr76OT7lHwa7GYobKdYtCLr8zLZaKbTjGWFABjfN5vSRdtbzsFZIzUtMCRqsFFw-ZH4ynstgalE8RSdSip0apvLgO1AC7AQNkbQlyqrvtYnnCQzz46EJylBb_1Tc5HeeIrj5IBbphlRPk4BBaMkXW1o&__tn__=H-R
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
No author found,27 nov,No text found,https://www.facebook.com/reel/496872709338088/?s=single_unit&__cft__[0]=AZVSYezBlJFGKW2IMjSsor2Zce9VAWmjENRw2sJH6XuzsJgDrC-HTG48TeFiKn3MEhjqh-ffIr6so4t45bgkBFGi8-2Im9tvZo4Sr1WIG7RTG-16Gcw_OlUYdgVr3M01ySPZ_Me9VN7yiQwq1tRjvLBb-UbCwJr9TMe3R12okdXbwvDlLOZZPQAihOwSu4KZWVLaooWXdLuWiRdrC_E4zDbH&__tn__=H-R
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
,"tspnodeSro5a1mh,0c67u0i9 1611g7imi65ur h9l156u805113v:l9u47f","#paris Aujourd’hui se tenait une audience publique et collégiale au Tribunal judiciaire de Paris. Khadija dite ""Khadija la combattante"" et son avocate maître Pauline R… En voir plus",https://www.facebook.com/profile.php?id=100087979941473&__cft__[0]=AZWqHZaVQ0dsXtcloch7GPRK2RBYCtZ9D1oa6nC-hxzEAaBrZnFTpqvy6gKNoqSJDKF982f8YB4aI1QEQkNFDULTNLShPvrMXxbiQ3r4R_ZUv-uTqEi5HTafybSnCcwbIAeJv_uo4NWo1ltKFMs2kiabJKx9FxpqhVl6F-mRb1dg3CuJlJQoJL8Wzz3HptgUcqlnt92OggGP5-szkC2SA93A&__tn__=%3C%3C%2CP-R
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
No author found,7 jan,No text found,https://www.facebook.com/reel/1251297019286170/?s=single_unit&__cft__[0]=AZVMJLbkmeVnHAwXeZIOE-QnWKO17vdyXxiIIM_50quT-VcX1iqDkfEnrjscd2fg3-NZpXPQ1ZbNPr8sk9ifKqNADWEIc_ARPThtiUmxpCDnucaGH8uRkKCrYTylHpy64g6B7WueUXHC1DdwRxit76ox0xNYxEJFX41d_GdOziKC_H5NRVQa62gHHyz1um7lbkK9OO4gOZqZSXsQvQr5OvZJ&__tn__=H-R
No author found,3 jan,No text found,https://www.facebook.com/reel/585516377665298/?s=single_unit&__cft__[0]=AZXH-Argn2fX_HyL7n51mZ-U6qtS8HTRsf22SCvo7KmU9HpEn_6lIXVcaPU3jMoQ5fKmmCSAyRX6cRhpDmUSftltHhQj_D8nmB76pygUDTfonnpoyjH6Kn8InFiz4LQGnvIajTR3QbYyl-TwEntkw5K61VtcAcpFrziQgSN9sRcb0tfiRnS7RDogz6P1MWkWzA6BYBc8qlzLZc3KnOwvEINx&__tn__=H-R
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
No author found,6 jan,No text found,https://www.facebook.com/reel/1539753350015048/?s=single_unit&__cft__[0]=AZXsREXRBkttzPGxiauw-PGi0T46vpsf4JvVxKcpVDn-zCqwTSKVrpVVJ3m3BcqMom5qYi0ab8LQtssvMsUFmLbV0XtW_LZquSaD4ank8iWjdVwUI5hLFSiGrWuGvGYQVgp1zKezT9ABD1eJ73MWBDStmG18N3Tk9DQGKBEU1CI7PmbF-wcpptC3TE8aRJ_sESEw2Mg8SlG7u3M4Tw14yc8Y&__tn__=H-R
No author found,10 jan,No text found,https://www.facebook.com/reel/503241686114525/?s=single_unit&__cft__[0]=AZVgedXOn7BfvX4bvPWDSxcadfvEJQg6UUqL36rWB9I4ZFly8hOs0msn-S58rlYp_61oJ50gPCmHzWW-ZMax964y6f0fvdhchYiZu2frqy6aKpp9QylFhB8CVGYzsaLU15FjnTwRS-ldt1isJO4dzI5xI03q-csWxYN5OtxKRlfwiWx04bvrCuoj6jaeu-svduMVaoKu1U_8zLBg1KTMWjCa&__tn__=H-R
No author found,28 jan,No text found,https://www.facebook.com/reel/973235064994517/?s=single_unit&__cft__[0]=AZWxlpkgISKv7n0RUCXBDwrjGFO5fPlmsDv4GvXKZbZGGxyD-2M0ZV3J4fC_Bws0HXQ5jjKerdHJd3fa_3GB6n3HF8Yu7B9qQLCzXRdi4VlUzFfAQ8xV-YnNV2XUu0ZBVEJy-tfjzEYmhfjp8x-hB8J1H0AGn_qzPZ3JJDruA87s1kRT5mYS1vsizE5qzlWQ1qc0malVGpsrr31keqnTlxnM&__tn__=H-R
,"sonpdSterov1ttl86hf25,7t43 :hl495a1l 8hi2lmihgh7h01062acrh41", Stage à l’USSE (@Union Sportive de Saint-Evarzec)… En voir plus,https://www.facebook.com/stories/101589849364344/UzpfSVNDOjEwMTgxMjcyNzMwMzU0MDc=/?view_single=false&__cft__[0]=AZXywZoDNKf-LA-pkSMmiwUpNki2INY12bXTNGrUvdpro50kiPVjQv4v755qghEx6fsc-otwIwOQcJ-ckm0cTFmFngZph3Yb8a27bY2InT41JeRNvnAezAOtsLgMtIS8iRL0lzTL-Db9ifQuNhDKtNZnak1nJlGrEuARSIf3VI3IdK6aFcSxrL8_2pJv0vbf_O0&__tn__=%3C%3C%2CP-R
No author found,18 mar,No text found,https://www.facebook.com/reel/1807500126767544/?s=single_unit&__cft__[0]=AZUsCy3BzitVEzsmMfn0PdeeHUDALHIDbf_YQmY-oFyMALfj_XiLejDj31PJOCtXAEu6tUykZjtxrv4vBMvW6nuEqEiTCuvRHseGi6jAjDfsPgKMEuagQtV47igTraf-8eYhCNxPRa91LpnU2iKiLcVCvze_PI3FP07uEe2Iib3HdLvnmrYQ2jihDKVg5HNtoocWloKT0-POkx16IZS4e1cz&__tn__=H-R
No author found,13 fév,No text found,https://www.facebook.com/reel/1177968380384958/?s=single_unit&__cft__[0]=AZVbTqphcmQBXywUl2t9GeDDn6h6B_xanOb2PEUn_5sz6fFCsVkvWPDsRKCqrhaKWNQ3kFNBHv4vc6J31oyNYBlSBuFdiutcBvNNHCJN_tOsPvLQiMEe6ePOeHJKANNrOhuwk3OdS6xQXCoyp4b4DHqSp5Z87GFIEDYPfdSEuw9Of7duuEWtoXY0rdOzj5a2SzLqUUz3JBpPOhuGBCi6dgOx&__tn__=H-R
